Sex,Age,Race,Juvenile Felonies,Juvenile Misdemeanors,Juvenile Others,Previous Convictions,Degree of Conviction,Days in Jail,COMPAS Score,Recidivism
1,69,5,0,0,0,0,0,1,1,0
1,34,0,0,0,0,0,0,97,3,1
1,24,0,0,0,1,4,0,2,4,1
1,44,5,0,0,0,0,1,322,1,0
1,41,2,0,0,0,14,0,7,6,1
1,43,5,0,0,0,3,0,1,4,0
0,39,2,0,0,0,0,1,3,1,0
1,20,2,0,0,1,0,0,416,10,0
0,26,2,0,0,0,0,0,31,5,0
1,21,2,0,0,0,1,0,30,3,1
1,27,2,0,0,0,0,0,2,4,0
1,23,0,0,0,0,3,1,123,6,1
0,37,2,0,0,0,0,1,31,1,0
1,22,2,0,0,0,0,1,1,3,0
1,41,0,0,0,0,0,0,31,4,0
0,47,2,0,0,0,1,0,15,1,1
1,31,0,0,0,0,7,0,4,3,1
1,37,3,0,0,0,0,1,1,1,0
1,25,0,0,0,0,3,0,2,10,0
1,31,2,0,0,0,6,0,2,5,1
1,31,2,0,0,0,5,0,2,3,1
1,64,0,0,0,0,13,0,32,6,1
1,21,0,0,0,0,1,0,4,9,1
1,27,2,0,0,0,0,1,1,2,1
0,21,2,0,0,0,0,0,2,4,0
1,24,3,0,0,0,1,0,31,4,1
1,42,2,0,0,0,1,0,44,3,0
1,43,2,0,0,0,1,1,2,1,0
1,32,5,0,0,0,0,1,61,3,0
0,54,0,0,0,0,0,0,170,9,0
1,44,0,0,0,0,8,1,1,6,0
1,27,0,0,0,0,8,0,18,3,1
0,36,2,0,0,0,3,0,31,3,0
1,26,0,0,0,1,5,0,1,7,1
1,33,0,0,0,0,0,0,286,10,1
1,30,2,0,0,0,9,0,45,9,1
1,32,0,0,0,0,4,0,2,8,1
1,63,0,0,0,0,0,1,61,1,0
1,27,3,0,0,0,2,0,1,3,0
1,55,2,0,0,0,0,0,3,1,0
1,32,0,0,0,0,15,0,93,10,0
1,38,0,0,0,2,5,0,99,3,0
1,53,2,0,0,0,19,0,6,5,0
1,49,5,0,0,0,7,0,122,3,1
1,26,2,0,0,2,6,1,132,8,0
0,33,2,0,0,0,4,1,305,5,1
1,24,2,0,0,0,1,1,2,2,1
1,34,0,2,1,3,21,0,261,9,1
1,29,2,0,0,0,0,1,1,2,0
0,21,0,0,0,0,2,0,80,8,0
1,51,0,0,0,0,2,1,2,1,0
