race,gender,relationship,age,hours-per-week,workclass,occupation,education,native-country,marital-status,Class-label
4,1,1,39,40,5,0,9,38,4,0
4,1,0,50,13,4,3,9,38,2,0
4,1,1,38,40,2,5,11,38,0,0
2,1,0,53,40,2,5,1,38,2,0
2,0,5,28,40,2,9,9,4,2,0
4,0,5,37,40,2,3,12,38,2,0
2,0,1,49,16,2,7,6,22,3,0
4,1,0,52,45,4,3,11,38,2,1
4,0,1,31,50,2,9,12,38,4,1
4,1,0,42,40,2,3,9,38,2,1
2,1,0,37,80,2,3,15,38,2,1
1,1,0,30,40,5,9,9,18,2,1
4,0,3,23,30,2,0,9,38,4,0
2,1,1,32,50,2,11,7,38,4,0
0,1,0,34,45,2,13,5,25,2,0
4,1,3,25,35,4,4,11,38,4,0
4,1,4,32,40,2,6,11,38,4,0
4,1,0,38,50,2,11,1,38,2,0
4,0,4,43,45,4,3,12,38,0,1
4,1,0,40,60,2,9,10,38,2,1
2,0,4,54,20,2,7,11,38,5,0
2,1,0,35,40,0,4,6,38,2,0
4,1,0,43,40,2,13,1,38,2,0
4,0,4,59,40,2,12,11,38,0,0
4,1,0,56,40,1,12,9,38,2,1
4,1,3,19,40,2,2,11,38,4,0
4,1,1,39,80,2,3,11,38,0,0
4,1,0,49,40,2,2,11,38,2,0
4,1,1,23,52,1,10,7,38,4,0
2,1,3,20,44,2,11,15,38,4,0
4,1,3,45,40,2,3,9,38,0,0
4,1,3,30,40,0,0,15,38,2,0
2,1,0,22,15,5,7,15,38,2,0
4,1,4,48,40,2,6,1,32,4,0
4,1,3,21,40,2,6,15,38,4,0
4,0,5,19,25,2,0,11,38,1,0
4,1,0,48,40,4,9,7,38,2,0
4,1,0,31,43,2,6,6,38,2,0
4,1,0,53,40,4,9,9,38,2,0
4,1,0,24,50,2,12,9,38,2,0
4,0,4,49,40,2,0,11,38,5,0
4,1,1,25,35,2,5,11,38,4,0
2,1,0,57,40,0,9,9,38,2,1
4,1,0,53,38,2,6,11,38,2,0
4,0,4,44,40,2,3,12,38,0,0
4,1,0,41,40,5,2,8,38,2,0
4,1,1,29,43,2,9,8,38,4,0
3,0,5,25,40,2,3,15,38,2,0
4,0,5,47,60,2,9,14,15,2,1
4,1,1,50,55,0,3,9,38,0,1
4,1,1,47,60,3,3,11,38,0,0
4,1,0,43,40,2,12,15,38,2,1
4,1,0,46,40,2,6,4,25,2,0
4,1,0,35,40,2,7,8,32,2,0
4,1,0,41,48,2,0,11,38,2,0
4,1,0,30,40,2,6,11,38,2,0
4,1,0,30,40,2,11,9,38,2,0
4,1,0,48,40,2,13,11,38,2,0
4,1,0,42,45,2,9,10,38,2,1
4,1,1,29,58,2,12,15,38,0,0
4,1,0,36,40,2,2,11,38,2,0
4,0,1,28,40,2,0,15,38,0,0
4,0,5,53,40,2,0,11,38,2,1
4,1,0,49,50,3,3,15,38,2,1
4,1,3,19,32,2,9,15,38,4,0
2,0,3,31,40,2,11,9,38,5,0
4,1,0,29,70,4,11,9,38,2,1
4,1,1,23,40,2,6,15,38,4,0
4,1,2,79,20,2,9,15,38,2,0
4,1,3,27,40,2,7,11,25,4,0
4,1,0,40,40,2,0,7,38,2,0
4,0,3,18,22,2,7,1,38,4,0
4,1,0,31,40,1,4,5,38,2,0
4,1,1,18,30,2,11,11,38,4,0
4,1,0,52,40,2,7,9,4,2,0
4,0,5,46,40,2,7,11,38,2,0
4,1,0,59,48,2,11,11,38,2,0
4,0,1,44,40,2,2,11,38,0,1
4,0,3,53,35,2,11,11,38,0,0
4,1,0,49,40,1,10,11,38,2,1
4,1,0,33,50,2,9,12,38,2,0
4,1,1,30,40,2,11,6,38,4,0
4,0,1,43,50,0,9,10,38,4,1
4,1,0,57,40,2,9,8,38,2,0
4,0,4,37,40,2,2,15,38,0,0
2,0,4,28,25,2,6,15,38,0,0
4,1,0,34,40,1,10,9,38,2,1
4,1,1,29,50,1,5,15,38,4,0
4,1,0,48,60,4,9,10,38,2,1
4,1,0,37,48,2,11,15,38,2,1
4,0,4,48,40,2,3,7,8,0,0
2,1,3,32,40,0,7,11,38,4,0
4,1,0,76,40,2,3,12,38,2,1
4,1,0,44,60,2,3,9,38,2,1
4,0,1,47,50,4,9,12,38,4,0
4,0,3,20,40,2,12,15,38,4,0
4,1,1,29,40,2,2,11,38,4,0
4,1,0,32,40,3,2,11,38,2,1
4,1,3,30,40,2,5,1,38,4,0
4,0,1,31,40,1,0,11,38,4,0
4,1,0,42,40,2,5,11,38,2,0
4,1,2,24,40,2,11,9,38,4,0
4,1,0,38,40,2,9,14,38,2,1
4,1,0,56,50,4,7,11,1,2,1
4,0,5,28,25,2,11,15,38,2,0
4,0,3,36,40,2,6,11,38,4,0
4,1,0,53,50,2,5,6,38,2,0
4,1,0,56,50,3,11,15,38,2,0
2,1,0,49,40,1,2,8,38,2,1
4,1,0,55,56,2,11,15,38,2,0
4,1,1,22,41,2,2,11,38,4,0
4,0,3,21,40,2,7,15,38,4,0
4,1,0,40,60,2,3,9,38,2,0
2,1,3,30,40,2,3,9,10,4,0
4,1,0,29,50,5,9,9,38,2,1
2,1,3,19,35,2,7,15,38,4,0
4,0,5,47,40,2,3,9,38,2,1
4,0,3,20,28,2,0,15,38,4,0
4,1,0,31,40,2,0,7,38,2,1
4,1,1,39,40,2,2,15,38,0,0
4,0,1,28,60,2,11,7,38,4,0
4,0,1,24,40,2,7,11,38,4,0
4,1,0,38,35,4,2,11,38,2,0
4,1,0,37,50,2,11,9,38,2,0
2,0,1,46,36,2,12,7,38,0,0
4,1,0,38,40,0,9,12,19,2,1
4,1,0,43,60,4,2,11,38,2,0
4,0,5,27,35,2,0,8,38,2,0
4,1,3,20,20,2,11,15,38,4,0
1,1,0,49,40,2,2,15,38,2,1
4,1,0,61,40,3,2,11,38,2,0
4,0,3,27,40,2,11,15,38,4,0
4,1,3,19,30,2,7,15,25,4,0
4,0,1,45,40,2,9,8,38,4,1
4,1,2,70,40,2,12,15,38,4,0
2,0,4,31,30,2,13,11,38,4,0
4,1,0,22,24,2,7,15,38,2,0
4,0,4,36,24,2,7,11,38,6,0
4,1,0,64,40,2,2,1,38,2,0
4,0,4,47,38,1,0,15,25,0,0
4,0,1,34,40,2,0,11,38,4,0
1,0,2,33,40,2,3,9,29,4,0
4,1,3,21,35,2,2,11,38,4,0
4,1,0,48,46,2,2,11,38,2,0
4,1,1,23,40,2,5,9,38,4,0
2,1,4,71,2,4,11,15,38,5,0
4,1,1,29,60,2,2,11,38,0,0
2,1,2,42,50,2,7,9,38,5,0
4,0,4,25,40,2,7,11,38,4,0
1,0,4,44,40,3,3,12,38,0,0
1,0,1,28,40,2,3,11,8,4,0
4,1,0,45,40,4,11,12,38,2,1
4,0,4,36,40,2,7,15,25,0,0
4,1,1,39,42,0,3,7,38,4,0
4,1,4,46,40,5,10,12,38,6,0
4,1,3,18,16,2,5,1,38,4,0
4,0,1,66,20,1,9,8,38,6,0
4,1,1,27,40,2,7,11,38,4,0
4,1,0,28,40,5,10,11,38,2,0
4,1,0,51,40,2,11,15,38,2,1
4,1,1,27,50,2,2,9,38,4,0
4,1,0,28,40,5,9,9,38,2,1
4,0,4,27,25,2,11,11,38,3,0
2,1,3,21,40,2,2,11,38,4,0
2,1,1,34,40,2,5,11,38,4,0
4,1,3,18,12,2,7,11,38,4,0
4,1,0,33,65,2,9,9,38,2,0
2,1,0,44,38,1,3,15,38,2,1
4,0,1,43,40,2,0,15,38,0,0
2,1,1,30,45,2,2,15,38,4,0
4,1,0,40,40,2,6,5,25,2,1
4,1,0,37,42,0,0,15,38,2,1
2,1,0,34,40,2,0,11,38,2,0
4,0,1,41,40,4,3,9,38,0,0
4,0,5,31,50,2,9,12,38,2,0
4,1,0,58,1,5,9,10,38,2,1
2,0,1,38,28,2,6,15,38,0,0
4,1,0,24,40,2,6,15,38,2,0
2,1,0,41,40,1,2,9,38,2,0
4,1,0,47,45,2,12,15,38,2,0
4,1,0,41,24,0,12,9,38,2,0
4,1,2,23,40,2,13,4,25,2,0
4,1,1,36,40,2,2,15,38,0,0
4,0,1,40,55,0,3,12,38,4,1
4,1,2,35,40,2,9,12,38,2,1
4,1,1,24,40,4,11,11,38,4,0
4,0,1,26,40,2,9,12,38,4,0
4,1,0,51,50,2,3,9,38,2,1
4,0,1,42,40,1,9,15,38,4,0
4,0,4,37,35,5,0,11,38,0,0
4,0,3,18,40,2,11,1,38,4,0
2,1,0,36,36,2,7,9,38,2,1
4,1,1,35,60,2,2,11,38,0,0
4,0,5,58,35,3,11,11,38,2,1
4,0,3,17,12,2,11,1,38,4,0
2,1,0,44,40,1,13,11,38,2,0
4,1,0,37,40,2,2,11,38,2,1
0,0,1,35,40,2,11,15,38,4,0
1,1,0,60,40,2,2,11,38,2,0
4,1,0,54,40,3,6,5,38,2,1
2,1,1,37,60,2,3,9,38,4,1
