CREDITRATING,BalanceCheque,Loan_NurnMonth,CreditHistory,CreditAmt,SavingsBalance,Mths_employ,PersonStatusSex,PresentResidence,Property,AgeInYears,OtherInstPlans,NumCreditsThisBank,NumPplLiablMaint,Telephone,ForeignWorker,Purpose_CarNew,Purpose_CarOld,otherdebtor_noneVsGuar,otherdebt_coapplVsGuar,house_rentVsFree,house_ownsVsFree,job_unemployedVsMgt,jobs_unskilledVsMgt,job_skilledVsMgt
0,0,6,4,12,4,5,2,4,0,67,2,2,1,1,0,0,0,1,0,0,1,0,0,1
1,1,48,1,60,0,3,1,2,0,22,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,12,4,21,0,4,2,3,0,49,2,1,2,0,0,0,0,1,0,0,1,0,1,0
0,0,42,1,79,0,4,2,4,1,45,2,1,2,0,0,0,0,0,0,0,0,0,0,1
1,0,24,3,49,0,3,2,4,3,53,2,2,2,0,0,1,0,1,0,0,0,0,0,1
0,3,36,1,91,4,3,2,4,3,35,2,1,2,1,0,0,0,1,0,0,0,0,1,0
0,3,24,1,28,2,5,2,4,1,53,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,36,1,69,0,3,2,2,2,35,2,1,1,1,0,0,1,1,0,1,0,0,0,0
0,3,12,1,31,3,4,0,4,0,61,2,1,1,0,0,0,0,1,0,0,1,0,1,0
1,1,30,4,52,0,1,3,2,2,28,2,2,1,0,0,1,0,1,0,0,1,0,0,0
1,1,12,1,13,0,2,1,1,2,25,2,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0,48,1,43,0,2,1,4,1,24,2,1,1,0,0,0,0,1,0,1,0,0,0,1
0,1,12,1,16,0,3,1,1,2,22,2,1,1,1,0,0,0,1,0,0,1,0,0,1
1,0,24,4,12,0,5,2,4,2,60,2,2,1,0,0,1,0,1,0,0,1,0,1,0
0,0,15,1,14,0,3,1,4,2,28,2,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0,24,1,13,1,3,1,2,2,32,2,1,1,0,0,0,0,1,0,0,1,0,1,0
0,3,24,4,24,4,5,2,4,1,53,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,0,30,2,81,4,2,2,3,2,25,0,3,1,0,0,0,0,1,0,0,1,0,0,1
1,1,24,1,126,0,5,1,2,3,44,2,1,1,1,0,0,1,1,0,0,0,0,0,0
0,3,24,1,34,2,5,2,2,2,31,2,1,2,1,0,0,0,1,0,0,1,0,0,1
0,3,9,4,21,0,3,2,4,2,48,2,3,1,1,0,1,0,1,0,0,1,0,0,1
0,0,6,1,26,2,3,2,3,0,44,2,1,2,0,0,0,0,1,0,1,0,0,0,1
0,0,10,4,22,0,2,2,3,0,48,2,2,2,0,1,1,0,1,0,1,0,0,1,0
0,1,12,4,18,1,2,2,4,1,44,2,1,1,0,0,0,1,1,0,0,1,0,0,1
0,3,10,4,21,4,3,3,1,2,26,2,2,1,0,1,0,0,1,0,0,1,0,0,1
0,0,6,1,14,0,3,2,2,0,36,0,1,1,1,0,0,0,1,0,0,1,0,1,0
0,3,6,2,4,0,5,3,4,2,39,2,1,1,0,0,0,0,1,0,0,1,0,1,0
0,2,12,0,4,3,3,1,3,0,42,2,2,1,0,0,0,0,1,0,1,0,0,0,1
0,1,7,1,24,0,3,2,2,0,34,2,1,1,0,0,0,0,0,0,0,1,0,0,1
1,0,60,3,68,0,5,2,4,3,63,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,1,18,1,19,3,2,3,3,0,36,0,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,24,1,40,0,3,2,2,2,27,1,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,18,1,59,1,3,2,2,2,30,2,2,1,1,0,1,0,1,0,0,1,0,0,1
0,3,12,4,13,4,5,2,4,3,57,2,1,1,0,0,0,0,1,0,1,0,0,1,0
